tilesheet_coordinates,key,name,image,imageF,made_with,unsettling_description,silly_description,original_description
"(96, 512)",1268,White Overalls,,,Rice,TODO,,A nice clean variant of the classic farmer look.
"(104, 512)",1269,Pour-Over Shirt,,,"Coffee, Triple Shot Espresso",CAUTION: HOT,,A familiar zig-zag pattern adorns this shirt. Ahhh... that smell.
"(112, 512)",1270,Green Jacket Shirt,,,Duck Egg,TODO,,Inspired by the mallard's coat. The shirt can be dyed.
"(120, 512)",1271,Short Jacket,,,Plum Pudding,TODO,,A short dyeable jacket over a shirt.
"(0, 544)",1272,Polka Dot Shirt,,,"Roe, Void Mayonnaise",TODO,,A dark shirt with dyeable polka dots.
"(8, 544)",1273,White Dot Shirt,,,Poppyseed Muffin,TODO,,A dyeable shirt with white polka dots.
"(16, 544)",1274,Camo Shirt,,,Stir Fry,TODO,,Helps you blend in with the surroundings.
"(24, 544)",1275,Dirt Shirt,,,Maple Bar,"Dust thou art, and to dust thou shalt return...",,You'll fit right in on the farm!
"(32, 544)",1276,Crab Cake Shirt,,,Crab Cakes,ALREADY UNSETTLING,,Pre-slathered with aioli for your enjoyment. Bon Appetit!
"(40, 544)",1277,Silky Shirt,,,Radish Salad,TODO,,It's made from a smooth silky substance.
"(48, 544)",1278,Blue Buttoned Vest,,,Octopus,TODO,,It's a blue shirt with dyeable sleeves.
"(56, 544)",1279,Faded Denim Shirt,,,Salmon,TODO,,"It's a denim shirt with a dusty, faded look."
"(64, 544)",1280,Red Buttoned Vest,,,,UNOBTAINABLE,,It's a red shirt with dyeable sleeves.
"(72, 544)",1281,Green Buttoned Vest,,,"Rhubarb, Spice Berry",TODO,,It's a green shirt with dyeable sleeves.
"(80, 544)",1282,Tomato Shirt,,,Tomato,TODO,,A shirt that answers the big question: 'Tomatoes are'... (but the rest is smudged).
"(88, 544)",1283,Fringed Vest,,,Chowder,TODO,,A fringed brown vest over a sleeveless shirt.
"(96, 544)",1284,Globby Shirt,,,Aged Roe,TODO,,It's got an indistinguishable glob pattern.
"(104, 544)",1285,Midnight Dog Jacket,,,Squid Ink,TODO,,It's dyed a deep midnight blue from squid ink.
"(112, 544)",1286,Shrimp Enthusiast Shirt,,,Shrimp Cocktail,Proclaim your voracious love of eating invertebrates.,,For those whose appetites demand a steady supply of shrimp.
"(120, 544)",1287,Tea Shirt,,,Green Tea,(Caroline's fever dream not included.),,A shirt inspired by the popular beverage.
"(16, 576)",1288,Trinket Shirt,,,Artifact Trove,TODO,,A shirt with large colored glass orbs attached to it.
"(24, 576)",1289,Darkness Suit,,,Wilted Bouquet,A stylish suit for an ex-lover's wedding or an eagerly-awaited funeral.,,A black suit top with a faded red pocket square.
"(32, 576)",1290,Mineral Dog Jacket,,,Seafoam Pudding,TODO,,It's infused with trace minerals from the ocean.
"(0, 544)",1997,Magic Sprinkle Shirt,,,Magic Rock Candy,TODO,,A shirt with prismatic sprinkles.
"(0, 576)",1998,Prismatic Shirt,,,Prismatic Shard,TODO,,It's shimmering with prismatic energy. Has dark sleeves.
"(8, 576)",1999,Prismatic Shirt,,,Prismatic Shard,TODO,,It's shimmering with prismatic energy. Has white sleeves.
