key,name,unsettling_description,original_description
588,Palm Fossil,TODO,"Palm Fossils are relatively common, but this happens to be a particularly well-preserved specimen."
589,Trilobite,TODO,A long extinct relative of the crab.
590,Artifact Spot,TODO,Uh... how did you get this in your inventory? Ape made a booboo.
591,Tulip,TODO,The most popular spring flower. Has a very faint sweet smell.
593,Summer Spangle,TODO,"A tropical bloom that thrives in the humid summer air. Has a sweet, tangy aroma."
595,Fairy Rose,TODO,An old folk legend suggests that the sweet smell of this flower attracts fairies.
597,Blue Jazz,TODO,The flower grows in a sphere to invite as many butterflies as possible.
599,Sprinkler,TODO,Waters the 4 adjacent tiles every morning.
376,Poppy,TODO,"In addition to its colorful flower, the Poppy has culinary and medicinal uses."
604,Plum Pudding,TODO,A traditional holiday treat.
605,Artichoke Dip,TODO,It's cool and refreshing.
606,Stir Fry,TODO,Julienned vegetables on a bed of rice.
607,Roasted Hazelnuts,TODO,The roasting process creates a rich forest flavor.
608,Pumpkin Pie,TODO,Silky pumpkin cream in a flakey crust.
609,Radish Salad,TODO,The radishes are so crisp!
610,Fruit Salad,TODO,A delicious combination of summer fruits.
611,Blackberry Cobbler,TODO,There's nothing quite like it.
612,Cranberry Candy,TODO,It's sweet enough to mask the bitter fruit.
613,Apple,TODO,A crisp fruit used for juice and cider.
614,Green Tea,TODO,"A pleasant, energizing beverage made from lightly processed tea leaves."
618,Bruschetta,TODO,Roasted tomatoes on a crisp white bread.
621,Quality Sprinkler,TODO,Waters the 8 adjacent tiles every morning.
645,Iridium Sprinkler,TODO,Waters the 24 adjacent tiles every morning.
648,Coleslaw,TODO,"It's light, fresh and very healthy."
649,Fiddlehead Risotto,TODO,A creamy rice dish served with sauteed fern heads. It's a little bland.
651,Poppyseed Muffin,TODO,It has a soothing effect.
628,Cherry Sapling,TODO,"Takes 28 days to produce a mature cherry tree. Bears fruit in the spring. Only grows if the 8 surrounding ""tiles"" are empty."
629,Apricot Sapling,TODO,"Takes 28 days to produce a mature Apricot tree. Bears fruit in the spring. Only grows if the 8 surrounding ""tiles"" are empty."
630,Orange Sapling,TODO,"Takes 28 days to produce a mature Orange tree. Bears fruit in the summer. Only grows if the 8 surrounding ""tiles"" are empty."
631,Peach Sapling,TODO,"Takes 28 days to produce a mature Peach tree. Bears fruit in the summer. Only grows if the 8 surrounding ""tiles"" are empty."
632,Pomegranate Sapling,TODO,"Takes 28 days to produce a mature Pomegranate tree. Bears fruit in the fall. Only grows if the 8 surrounding ""tiles"" are empty."
633,Apple Sapling,TODO,"Takes 28 days to produce a mature Apple tree. Bears fruit in the fall. Only grows if the 8 surrounding ""tiles"" are empty."
634,Apricot,TODO,A tender little fruit with a rock-hard pit.
635,Orange,TODO,"Juicy, tangy, and bursting with sweet summer aroma."
636,Peach,TODO,It's almost fuzzy to the touch.
637,Pomegranate,TODO,Within the fruit are clusters of juicy seeds.
638,Cherry,TODO,"It's popular, and ripens sooner than most other fruits."
668,Stone,TODO,There's stone ore in this stone.
670,Stone,TODO,There's stone ore in this stone.
674,Weeds,TODO,Ugly weeds.
675,Weeds,TODO,Ugly weeds.
676,Weeds,TODO,Ugly weeds.
677,Weeds,TODO,Ugly weeds.
678,Weeds,TODO,Ugly weeds.
679,Weeds,TODO,Ugly weeds.
680,Green Slime Egg,TODO,Can be hatched in a slime incubator.
681,Rain Totem,TODO,Activate to greatly increase the chance for rain tomorrow. Consumed on use.
682,Mutant Carp,TODO,The strange waters of the sewer turned this carp into a monstrosity.
684,Bug Meat,TODO,It's a juicy wad of bug flesh.
685,Bait,TODO,Causes fish to bite faster. Must first be attached to a fishing rod.
686,Spinner,TODO,The shape makes it spin around in the water. Slightly increases the bite-rate when fishing.
687,Dressed Spinner,TODO,The metal tab and colorful streamers create an enticing spectacle for fish. Increases the bite-rate when fishing.
688,Warp Totem: Farm,TODO,Warp directly to your house. Consumed on use.
689,Warp Totem: Mountains,TODO,Warp directly to the mountains. Consumed on use.
690,Warp Totem: Beach,TODO,Warp directly to the beach. Consumed on use.
691,Barbed Hook,TODO,"Makes your catch more secure, causing the ""fishing bar"" to cling to your catch. Works best on slow, weak fish."
692,Lead Bobber,TODO,"Adds weight to your ""fishing bar"", preventing it from bouncing along the bottom."
693,Treasure Hunter,TODO,Fish don't escape while collecting treasures. Also slightly increases the chance to find treasures.
694,Trap Bobber,TODO,Causes fish to escape slower when you aren't reeling them in.
695,Cork Bobber,TODO,"Slightly increases the size of your ""fishing bar""."
698,Sturgeon,TODO,An ancient bottom-feeder with a dwindling population. Females can live up to 150 years.
699,Tiger Trout,TODO,A rare hybrid trout that cannot bear offspring of its own.
700,Bullhead,TODO,A relative of the catfish that eats a variety of foods off the lake bottom.
701,Tilapia,TODO,A primarily vegetarian fish that prefers warm water.
702,Chub,TODO,A common freshwater fish known for its voracious appetite.
703,Magnet,TODO,"Increases the chance of finding treasures when fishing. However, fish aren't crazy about the taste."
704,Dorado,TODO,A fierce carnivore with brilliant orange scales.
705,Albacore,TODO,"Prefers temperature ""edges"" where cool and warm water meet."
706,Shad,TODO,"Lives in a school at sea, but returns to the rivers to spawn."
707,Lingcod,TODO,A fearsome predator that will eat almost anything it can cram into its mouth.
708,Halibut,TODO,A flat fish that lives on the ocean floor.
709,Hardwood,TODO,A special kind of wood with superior strength and beauty.
710,Crab Pot,TODO,"Place it in the water, load it with bait, and check the next day to see if you've caught anything. Works in streams, lakes, and the ocean."
715,Lobster,TODO,A large ocean-dwelling crustacean with a strong tail.
716,Crayfish,TODO,A small freshwater relative of the lobster.
717,Crab,TODO,A marine crustacean with two powerful pincers.
718,Cockle,TODO,A common saltwater clam.
719,Mussel,TODO,A common bivalve that often lives in clusters.
720,Shrimp,TODO,A scavenger that feeds off the ocean floor. Widely prized for its meat.
721,Snail,TODO,A wide-ranging mollusc that lives in a spiral shell.
722,Periwinkle,TODO,A tiny freshwater snail that lives in a blue shell.
723,Oyster,TODO,"Constantly filters water to find food. In the process, it removes dangerous toxins from the environment."
724,Maple Syrup,TODO,A sweet syrup with a unique flavor.
725,Oak Resin,TODO,"A sticky, fragrant substance derived from oak sap."
726,Pine Tar,TODO,A pungent substance derived from pine sap.
727,Chowder,TODO,A perfect way to warm yourself after a cold night at sea.
730,Lobster Bisque,TODO,This delicate soup is a secret family recipe of Willy's.
728,Fish Stew,TODO,"It smells a lot like the sea. Tastes better, though."
729,Escargot,TODO,Butter-soaked snails cooked to perfection.
731,Maple Bar,TODO,It's a sweet doughnut topped with a rich maple glaze.
732,Crab Cakes,TODO,"Crab, bread crumbs, and egg formed into patties then fried to a golden brown."
733,Shrimp Cocktail,TODO,A sumptuous appetizer made with freshly-caught shrimp.
734,Woodskip,TODO,A very sensitive fish that can only live in pools deep in the forest.
745,Strawberry Seeds,TODO,"Plant these in spring. Takes 8 days to mature, and keeps producing strawberries after that."
746,Jack-O-Lantern,TODO,A whimsical fall decoration.
747,Rotten Plant,TODO,Decomposing organic material. It's slimy and unpleasant.
748,Rotten Plant,TODO,Decomposing organic material. It's slimy and unpleasant.
749,Omni Geode,TODO,A blacksmith can break this open for you. These geodes contain a wide variety of Minerals.
750,Weeds,TODO,Ugly weeds.
751,Stone,TODO,There's copper ore in this stone.
760,Stone,TODO,...
762,Stone,TODO,...
764,Stone,TODO,gold ore
765,Stone,TODO,iridium ore
766,Slime,TODO,"A shimmering, gelatinous glob with no smell."
767,Bat Wing,TODO,The material is surprisingly delicate.
768,Solar Essence,TODO,The glowing face is warm to the touch.
769,Void Essence,TODO,It's quivering with dark energy.
770,Mixed Seeds,TODO,There's a little bit of everything here. Plant them and see what grows!
771,Fiber,TODO,Raw material sourced from plants.
772,Oil of Garlic,TODO,Drink this and weaker monsters will avoid you.
773,Life Elixir,TODO,Restores health to full.
774,Wild Bait,TODO,A unique recipe from Linus that gives you a chance to catch two fish at once.
775,Glacierfish,TODO,Builds a nest on the underside of glaciers.
784,Weeds,TODO,Ugly weeds.
785,Weeds,TODO,Ugly weeds.
786,Weeds,TODO,Ugly weeds.
787,Battery Pack,TODO,It's fully charged with precious energy.
788,Lost Axe,TODO,Robin's been looking everywhere for it.
789,Lucky Purple Shorts,TODO,Better not inspect these too closely.
790,Berry Basket,TODO,The fibers are stained with berry juice.
792,Weeds,TODO,Ugly weeds.
793,Weeds,TODO,Ugly weeds.
794,Weeds,TODO,Ugly weeds.
795,Void Salmon,TODO,"A salmon, twisted by void energy. The fresh meat is jet black, but rapidly turns pink when exposed to air."
796,Slimejack,TODO,He's coated in a very thick layer of slime. He keeps slipping out of your hands!
797,Pearl,TODO,A rare treasure from the sea.
798,Midnight Squid,TODO,A strange and mysterious denizen of the ocean's twilight depths.
799,Spook Fish,TODO,The huge eyes can detect the faint silhouettes of prey.
800,Blobfish,TODO,"This odd creature floats above the ocean floor, consuming any edible material in its path."
801,Wedding Ring,TODO,An old Zuzu City tradition... It's used to ask for another farmer's hand in marriage.
802,Cactus Seeds,TODO,"Can only be grown indoors. Takes 12 days to mature, and then produces fruit every 3 days."
803,Iridium Milk,TODO,A powerful 'milk' of unknown origin...
805,Tree Fertilizer,TODO,"Sprinkle on a wild tree to ensure rapid growth, even in winter. Doesn't work on fruit trees."
807,Dinosaur Mayonnaise,TODO,"It's thick and creamy, with a vivid green hue. It smells like grass and leather."
808,Void Ghost Pendant,TODO,"It's symoblic to the shadow people. As a gift, it signifies the desire to move in together as friends."
809,Movie Ticket,TODO,Admits one to the movie theater. Giving this to a friend invites them to the movies with you.
810,Crabshell Ring,TODO,The top of the ring is made from enchanted crab shell.
811,Napalm Ring,TODO,"When you defeat an enemy, they explode."
812,Roe,TODO,Fresh fish eggs. These can be aged in a preserves jar to bring out more flavor.
445,Caviar,TODO,The cured roe of a sturgeon fish. Considered to be a luxurious delicacy!
814,Squid Ink,TODO,Squid use this ink to confuse would-be predators.
815,Tea Leaves,TODO,"The young leaves of the tea plant. Can be brewed into the popular, energizing beverage."
267,Flounder,TODO,"It lives on the bottom, so both eyes are on top of its head."
265,Seafoam Pudding,TODO,This briny pudding will really get you into the maritime mindset!
269,Midnight Carp,TODO,This shy fish only feels comfortable at night.
